"Date";"Year";"Type";"Country";"Area";"Location";"Injury";"Species";"href formula"
"25-Jun-2018";2018;"Boating";"USA";"California";"Oceanside, San Diego County";"No injury to occupant, outrigger canoe and paddle damaged";"White shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf"
"18-Jun-2018";2018;"Unprovoked";"USA";"Georgia";"St. Simon Island, Glynn County";"Minor injury to left thigh";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf"
"09-Jun-2018";2018;"Invalid";"USA";"Hawaii";"Habush, Oahu";"Injury to left lower leg from surfboard skeg";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf"
"08-Jun-2018";2018;"Unprovoked";"AUSTRALIA";"New South Wales";"Arrawarra Headland";"Minor injury to lower leg";"2 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf"
"04-Jun-2018";2018;"Provoked";"MEXICO";"Colima";"La Ticla";"Lacerations to leg & hand shark PROVOKED INCIDENT";"Tiger shark, 3m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf"
"03-Jun-2018";2018;"Unprovoked";"AUSTRALIA";"New South Wales";"Flat Rock, Ballina";"No injury, board bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf"
"03-Jun-2018";2018;"Unprovoked";"BRAZIL";"Pernambuco";"Piedade Beach, Recife";"FATAL";"Tiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf"
"27-May-2018";2018;"Unprovoked";"USA";"Florida";"Lighhouse Point Park, Ponce Inlet, Volusia County";"Minor injury to foot. PROVOKED INCIDENT";"Lemon shark, 3'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf"
"26-May-2018";2018;"Unprovoked";"USA";"Florida";"Cocoa Beach, Brevard  County";"Lower left leg bitten";"Bull shark, 6'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf"
"26-May-2018";2018;"Unprovoked";"USA";"Florida";"Daytona Beach, Volusia County";"Minor injury to foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf"
"24-May-2018";2018;"Provoked";"AUSTRALIA";"Queensland";"Cairns Aquarium";"Minor bite to hand by captive shark. PROVOKED INCIDENT";"Grey reef shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf"
"21-May-2018";2018;"Unprovoked";"USA";"South Carolina";"Isle of Palms,  Charleston County";"Injuries to lower right leg and foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf"
